Gruppo,Video,epsilon,method,n_detections,mean_confidence,asr
Video,crime_knife.mp4,0.0,FGSM,1.4,0.3287735223770142,0.0
Video,crime_knife.mp4,0.0,PGD,1.4,0.3287735223770142,0.0
Video,crime_knife.mp4,0.01,FGSM,0.4,0.12949991822242737,0.7142857142857143
Video,crime_knife.mp4,0.01,PGD,0.0,0.0,1.0
Video,crime_knife.mp4,0.02,FGSM,0.6,0.10602253675460815,0.5714285714285714
Video,crime_knife.mp4,0.02,PGD,0.0,0.0,1.0
Video,crime_knife.mp4,0.03,FGSM,0.6,0.19657354354858397,0.5714285714285714
Video,crime_knife.mp4,0.03,PGD,0.0,0.0,1.0
Video,crime_knife.mp4,0.05,FGSM,0.2,0.058717817068099976,0.8571428571428571
Video,crime_knife.mp4,0.05,PGD,0.0,0.0,1.0
Video,crime_knife.mp4,0.1,FGSM,0.0,0.0,1.0
Video,crime_knife.mp4,0.1,PGD,0.0,0.0,1.0
Video,crime_scene.mp4,0.0,FGSM,3.5,0.6820628046989441,0.0
Video,crime_scene.mp4,0.0,PGD,3.5,0.6820628046989441,0.0
Video,crime_scene.mp4,0.01,FGSM,2.75,0.5372510924935341,0.21428571428571427
Video,crime_scene.mp4,0.01,PGD,0.0,0.0,1.0
Video,crime_scene.mp4,0.02,FGSM,1.5,0.6114789694547653,0.5714285714285714
Video,crime_scene.mp4,0.02,PGD,0.0,0.0,1.0
Video,crime_scene.mp4,0.03,FGSM,2.0,0.5171385630965233,0.42857142857142855
Video,crime_scene.mp4,0.03,PGD,0.0,0.0,1.0
Video,crime_scene.mp4,0.05,FGSM,1.0,0.343505859375,0.7142857142857143
Video,crime_scene.mp4,0.05,PGD,0.0,0.0,1.0
Video,crime_scene.mp4,0.1,FGSM,0.25,0.08856792747974396,0.9285714285714286
Video,crime_scene.mp4,0.1,PGD,0.0,0.0,1.0
Render,crime.mp4,0.0,FGSM,2.6,0.6131606936454773,0.0
Render,crime.mp4,0.0,PGD,2.6,0.6131606936454773,0.0
Render,crime.mp4,0.01,FGSM,0.8,0.2837025821208954,0.6923076923076923
Render,crime.mp4,0.01,PGD,0.0,0.0,1.0
Render,crime.mp4,0.02,FGSM,0.4,0.14884334802627563,0.8461538461538461
Render,crime.mp4,0.02,PGD,0.0,0.0,1.0
Render,crime.mp4,0.03,FGSM,0.4,0.07216830253601074,0.8461538461538461
Render,crime.mp4,0.03,PGD,0.0,0.0,1.0
Render,crime.mp4,0.05,FGSM,0.0,0.0,1.0
Render,crime.mp4,0.05,PGD,0.0,0.0,1.0
Render,crime.mp4,0.1,FGSM,0.0,0.0,1.0
Render,crime.mp4,0.1,PGD,0.0,0.0,1.0
Render,splacto_living_room.mp4,0.0,FGSM,6.2,0.6057757377624512,0.0
Render,splacto_living_room.mp4,0.0,PGD,6.2,0.6057757377624512,0.0
Render,splacto_living_room.mp4,0.01,FGSM,4.4,0.5159725069999694,0.2903225806451613
Render,splacto_living_room.mp4,0.01,PGD,0.0,0.0,1.0
Render,splacto_living_room.mp4,0.02,FGSM,4.2,0.5113735318183898,0.3225806451612903
Render,splacto_living_room.mp4,0.02,PGD,0.0,0.0,1.0
Render,splacto_living_room.mp4,0.03,FGSM,4.0,0.49810233116149905,0.3548387096774194
Render,splacto_living_room.mp4,0.03,PGD,0.0,0.0,1.0
Render,splacto_living_room.mp4,0.05,FGSM,2.4,0.5123182356357574,0.6129032258064516
Render,splacto_living_room.mp4,0.05,PGD,0.0,0.0,1.0
Render,splacto_living_room.mp4,0.1,FGSM,1.2,0.27053302526474,0.8064516129032258
Render,splacto_living_room.mp4,0.1,PGD,0.0,0.0,1.0
